user_id,work_id,year,month,day,hour,minute,second
3,50,2024,5,28,8,51,42
2,207,2024,5,28,18,25,33
2,57,2024,5,28,18,26,5
2,498,2024,5,28,18,35,19
2,496,2024,5,28,18,35,41
2,499,2024,5,28,18,35,49
2,510,2024,5,28,18,40,49
2,501,2024,5,28,18,40,56
